City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,pacific grove,36.6177,-121.9166,7.23,74,0,3.6,US,1674217197
1,bredasdorp,-34.5322,20.0403,28.14,46,0,7.5,ZA,1674217197
2,luziania,-16.2525,-47.9503,24.83,76,64,1.65,BR,1674217197
3,ribeira grande,38.5167,-28.7,15.43,82,40,8.94,PT,1674217198
4,lebu,-37.6167,-73.65,14.01,90,33,1.55,CL,1674216922
5,presidencia roque saenz pena,-26.7852,-60.4388,31.8,41,0,4.69,AR,1674217199
6,colares,38.7992,-9.4469,17.41,85,75,7.6,PT,1674217200
7,albany,42.6001,-73.9662,1.52,93,100,1.08,US,1674217200
8,constitucion,-35.3333,-72.4167,16.06,73,62,1.34,CL,1674217200
9,hermanus,-34.4187,19.2345,26.0,70,0,5.03,ZA,1674217200
10,namibe,-15.1961,12.1522,26.17,64,97,4.41,AO,1674217201
11,punta arenas,-53.15,-70.9167,11.06,87,75,2.06,CL,1674217201
12,yumen,40.2833,97.2,-9.45,53,93,8.7,CN,1674217202
13,khndzoresk,39.5122,46.4328,3.14,50,0,2.65,AM,1674217202
14,lamu,-2.2717,40.902,30.12,67,36,8.73,KE,1674217202
15,abha,18.2164,42.5053,19.14,42,40,4.63,SA,1674217203
16,sabha,27.0377,14.4283,13.45,16,5,1.71,LY,1674217203
17,carnarvon,-24.8667,113.6333,24.33,79,2,9.44,AU,1674217064
18,malakal,9.5334,31.6605,36.82,13,77,5.13,SS,1674217204
19,vostok,46.4856,135.8833,-26.51,100,100,1.59,RU,1674217204
20,cooma,-36.2333,149.1333,8.84,96,21,1.57,AU,1674217205
21,madimba,-10.4,40.3333,29.19,67,99,6.07,TZ,1674217205
22,genhe,50.7833,121.5167,-35.98,97,97,0.75,CN,1674217206
23,creel,27.75,-107.6333,-2.27,45,69,0.82,MX,1674217206
24,rikitea,-23.1203,-134.9692,24.97,71,87,2.31,PF,1674217207
25,suez,29.9737,32.5263,22.53,18,0,0.71,EG,1674217208
26,new norfolk,-42.7826,147.0587,16.07,65,96,0.51,AU,1674217208
27,erenhot,43.6475,111.9767,-9.8,47,99,6.08,CN,1674217208
28,manyana,-23.4,21.7167,30.81,28,49,5.31,BW,1674217208
29,naze,28.3667,129.4833,12.51,56,4,6.73,JP,1674217208
30,rocha,-34.4833,-54.3333,26.46,55,6,5.48,UY,1674217209
31,khatanga,71.9667,102.5,-42.95,96,34,2.18,RU,1674217209
32,hay river,60.8156,-115.7999,-13.02,85,0,3.09,CA,1674217209
33,mogadishu,2.0371,45.3438,28.62,66,33,11.38,SO,1674217210
34,atuona,-9.8,-139.0333,25.54,80,14,7.77,PF,1674217210
35,bengkulu,-3.8004,102.2655,25.22,85,100,0.69,ID,1674217210
36,tasiilaq,65.6145,-37.6368,-9.91,95,100,2.42,GL,1674217211
37,ipoh,4.5841,101.0829,27.95,74,40,2.06,MY,1674217211
38,chuy,-33.6971,-53.4616,25.69,62,0,4.87,UY,1674217211
39,san cristobal,7.7669,-72.225,18.1,74,82,0.72,VE,1674217211
40,qaanaaq,77.484,-69.3632,-36.27,60,0,3.85,GL,1674217211
41,savelugu,9.6244,-0.8253,35.83,10,22,3.29,GH,1674217109
42,kapaa,22.0752,-159.319,21.99,91,0,2.57,US,1674217036
43,kaitangata,-46.2817,169.8464,10.97,74,60,3.83,NZ,1674217212
44,minot,48.2325,-101.2963,-5.94,96,99,2.36,US,1674217212
45,teeli,51.0333,90.2333,-17.34,73,70,2.86,RU,1674217213
46,ushuaia,-54.8,-68.3,11.81,71,20,9.26,AR,1674217088
47,harlingen,26.1906,-97.6961,20.5,84,100,3.6,US,1674217213
48,hilo,19.7297,-155.09,24.6,81,0,3.09,US,1674217213
49,wamba,8.9333,8.6,36.7,11,57,3.23,NG,1674217213
50,port alfred,-33.5906,26.891,26.21,79,99,2.24,ZA,1674217213
51,hofn,64.2539,-15.2082,4.01,93,100,9.77,IS,1674217214
